case_id,date,country,region,attack_type,sector,description,legal_action,source,mitre_initial_access,mitre_execution,mitre_impact,confidentiality_impact,integrity_impact,availability_impact,severity_score,severity_level
CC001,2026-01-15,Unknown,Global,Phishing,Industrial / Critical Infrastructure,AVEVA Process Optimization,Under Investigation,CISA,Phishing,User Execution,Credential Access,1,0,0,3,Medium
n,Unknown,0,0,0,0,Low
CC002,2026-01-14,Unknown,Global,Unknown,Industrial / Critical Infrastructure,Secure Connectivity Principles for Operational Technology (OT),Under Investigation,CISA,Unknown,UnknowCC003,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens RUGGEDCOM ROS,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC004,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens TeleControl Server Basic,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC005,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens SIMATIC and SIPLUS products,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC006,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens Industrial Edge Device Kit,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC007,2026-01-14,Unknown,Global,Phishing,Industrial / Critical Infrastructure,Siemens RUGGEDCOM APE1808 Devices,Under Investigation,CISA,Phishing,User Execution,Credential Access,1,0,0,3,Medium
CC008,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens SINEC Security Monitor,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC009,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens Industrial Edge Devices,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC010,2026-01-14,Unknown,Global,Malware,Industrial / Critical Infrastructure,Schneider Electric EcoStruxure Power Build Rapsody,Under Investigation,CISA,Drive-by Compromise,Malicious File,Command and Control,0,1,0,2,Low
CC011,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Festo Firmware,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
CC012,2026-01-13,Unknown,Global,Phishing,Industrial / Critical Infrastructure,YoSmart YoLink Smart Hub,Under Investigation,CISA,Phishing,User Execution,Credential Access,1,0,0,3,Medium
CC013,2026-01-13,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration,1,1,1,5,Medium
