case_id,date,country,region,attack_type,sector,description,legal_action,source,mitre_initial_access,mitre_execution,mitre_impact
CC001,2026-01-15,Unknown,Global,Phishing,Industrial / Critical Infrastructure,AVEVA Process Optimization,Under Investigation,CISA,Phishing,User Execution,Credential Access
CC002,2026-01-14,Unknown,Global,Unknown,Industrial / Critical Infrastructure,Secure Connectivity Principles for Operational Technology (OT),Under Investigation,CISA,Unknown,Unknown,Unknown
CC003,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens RUGGEDCOM ROS,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC004,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens TeleControl Server Basic,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC005,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens SIMATIC and SIPLUS products,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC006,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens Industrial Edge Device Kit,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC007,2026-01-14,Unknown,Global,Phishing,Industrial / Critical Infrastructure,Siemens RUGGEDCOM APE1808 Devices,Under Investigation,CISA,Phishing,User Execution,Credential Access
CC008,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens SINEC Security Monitor,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC009,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Siemens Industrial Edge Devices,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC010,2026-01-14,Unknown,Global,Malware,Industrial / Critical Infrastructure,Schneider Electric EcoStruxure Power Build Rapsody,Under Investigation,CISA,Drive-by Compromise,Malicious File,Command and Control
CC011,2026-01-14,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Festo Firmware,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC012,2026-01-13,Unknown,Global,Phishing,Industrial / Critical Infrastructure,YoSmart YoLink Smart Hub,Under Investigation,CISA,Phishing,User Execution,Credential Access
CC013,2026-01-13,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC014,2026-01-13,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Rockwell Automation 432ES-IG3 Series A,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC015,2026-01-13,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Rockwell Automation FactoryTalk DataMosaix Private Cloud,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC016,2026-01-12,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC017,2026-01-08,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Hitachi Energy Asset Suite,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC018,2026-01-07,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds Two Known Exploited Vulnerabilities to Catalog,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC019,2026-01-06,Unknown,Global,Unknown,Industrial / Critical Infrastructure,Columbia Weather Systems MicroServer,Under Investigation,CISA,Unknown,Unknown,Unknown
CC020,2025-12-30,Unknown,Global,Phishing,Industrial / Critical Infrastructure,WHILL Model C2 Electric Wheelchairs and Model F Power Chairs,Under Investigation,CISA,Phishing,User Execution,Credential Access
CC021,2025-12-30,Unknown,Global,Unknown,Industrial / Critical Infrastructure,CISA Releases Two Industrial Control Systems Advisories,Under Investigation,CISA,Unknown,Unknown,Unknown
CC022,2025-12-29,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC023,2025-12-23,Unknown,Global,Unknown,Industrial / Critical Infrastructure,CISA Releases One Industrial Control Systems Advisory,Under Investigation,CISA,Unknown,Unknown,Unknown
CC024,2025-12-22,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC025,2025-12-22,Unknown,Global,Unknown,Industrial / Critical Infrastructure,NIST and CISA Release Draft Interagency Report on Protecting Tokens and Assertions from Tampering Theft and Misuse for Public Comment,Under Investigation,CISA,Unknown,Unknown,Unknown
CC026,2025-12-19,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,CISA Adds One Known Exploited Vulnerability to Catalog,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC027,2025-12-19,Unknown,Global,Malware,Industrial / Critical Infrastructure,CISA  and Partners Release Update to Malware Analysis Report BRICKSTORM Backdoor,Under Investigation,CISA,Drive-by Compromise,Malicious File,Command and Control
CC028,2025-12-18,Unknown,Global,Phishing,Industrial / Critical Infrastructure,Inductive Automation Ignition,Under Investigation,CISA,Phishing,User Execution,Credential Access
CC029,2025-12-18,Unknown,Global,Data Breach,Industrial / Critical Infrastructure,Schneider Electric EcoStruxure Foxboro DCS Advisor,Under Investigation,CISA,Exploitation of Public-Facing Application,Credential Access,Exfiltration
CC030,2025-12-18,Unknown,Global,Unknown,Industrial / Critical Infrastructure,"Axis Communications Camera Station Pro, Camera Station, and Device Manager (Update A)",Under Investigation,CISA,Unknown,Unknown,Unknown
